,torque,bandwidth
0,0.1,2.3249943735136163
1,0.1,4.198378565206225
2,0.1,4.124884080445129
3,0.25,6.249741198216982
4,0.25,4.5247904795768426
5,0.25,4.09983557609422
6,0.5,1.2499394685563865
# 7,0.5,28.798167788569874
8,0.5,1.174955874532132
9,0.75,3.2748348910118827
10,0.75,1.2499861782778336
11,0.75,1.1999951550195618
12,1.0,1.9746882658369134
13,1.0,4.049678597258128
14,1.0,5.424971546024241
15,1.25,5.874908792041003
16,1.25,4.874930142251062
17,1.25,4.599835302896979
18,1.5,6.07494064782987
19,1.5,6.12489694860884
20,1.5,5.3497360440235875
21,2.0,6.197653010781346
22,2.0,4.099301058921201
23,2.0,5.024849807239261
24,3.0,7.524804449144378
25,3.0,5.2749447713282445
26,3.0,6.449796589540058
27,4.0,6.199683180690258
28,4.0,6.499764497282853
29,4.0,6.6996233974197725
30,5.0,8.12466260307375
31,5.0,7.09999506550343
32,5.0,5.749850403267134
